slug	attribution_class	verified	novel	novelty_markers	rules_wc	attribution_verbatim
dark-chess	unverifiable		YES	hidden-info	140	Modern variant. Distinguished from Fog of War by its stricter visibility rules. Public domain.
poison-chess	unverifiable		YES	timed-effect;status-effect	91	Modern variant. Public domain.
berserk	unverifiable		YES	multi-move	84	Modern variant, popularised on online chess platforms (2000s). Public domain rules.
immunization-chess	unverifiable		YES	timed-effect;status-effect	78	Modern variant. Public domain.
crazyhouse	unverifiable		YES	drops	76	Traditional variant. Derives from Shogi's drop mechanic applied to Western chess. Popularised on Lichess and FICS. Public domain.
teleport-chess	unverifiable		YES	teleport	74	Modern variant. Public domain.
marseillais	unverifiable		YES	multi-move	73	Originated in Marseille, France, early 20th century. Public domain.
medusa-chess	unverifiable		YES	timed-effect	73	Modern variant. Public domain.
monster-chess	unverifiable		YES	multi-move	60	Traditional variant. Public domain.
romanchenkos-chess	unverifiable		YES	multi-move	40	Romanchenko's Chess was created by Soviet chess trainer V. Romanchenko. Jocly implementation by Michel Gutierrez and Jérôme Choain. Source: chessvariants.com/play/jocly/romanchenko-chess
standard	unverifiable				419	Origins in 6th-century India (Chaturanga). Modern rules standardised by FIDE. Public domain.
dragon-chess	unverifiable				146	Dragon Chess was created by Grandmaster Miguel Illescas. Rules documented from pychess.org/variants/dragon.
atomic	unverifiable				116	Traditional variant. Popularised on Lichess and Chess.com. Public domain.
cylinder-chess	unverifiable				112	Traditional variant with roots in 19th-century chess composition. Public domain.
no-retreat	unverifiable				105	Traditional variant, 20th century. Public domain.
progressive	unverifiable				97	Traditional variant (Italian Progressive rules). Public domain.
rifle	unverifiable				95	Traditional variant. Also known as "Stationary Capture Chess." Public domain.
makpong	unverifiable				85	Traditional Thai variant of Makruk. Public domain.
displacement-chess	unverifiable				77	Modern variant. Public domain.
shatar	unverifiable				77	Traditional Mongolian chess. Played for centuries in Mongolia. Public domain.
xiang-fu	unverifiable				77	Xiang Fu was designed by Eventlesstew for the PyChess Variant Design Contest. Board corrected to 9×9 (not 9×10 as originally described). Rules documented from pychess.org/variants/xiangfu.
makruk	unverifiable				75	Traditional Thai chess. Played for over 500 years in Thailand. Public domain.
giveaway	unverifiable				71	Traditional variant. Also known as "Giveaway Chess." Public domain.
half-chess	unverifiable				70	Traditional mini-chess variant. Public domain.
antichess	unverifiable				69	Also known as "Losing Chess," "Giveaway Chess," or "Suicide Chess." Traditional variant, 19th century. Public domain.
codrus	unverifiable				66	Named after King Codrus of Athens. Traditional variant. Public domain.
recruitment-chess	unverifiable				66	Modern variant. Public domain.
omnicide	unverifiable				65	Modern variant. Distinct from Antichess by the absence of forced captures. Public domain.
glinski	unverifiable				61	
upside-down	unverifiable				60	Traditional variant. Public domain.
horde	unverifiable				59	Popularised on Lichess. Public domain.
hoppel-poppel	unverifiable				58	Traditional German variant. The name means "Hippety-Hop" in German. Public domain.
suicide-chess	unverifiable				56	Traditional variant. Public domain.
diana	unverifiable				49	Traditional variant, 19th century. Public domain.
torpedo	unverifiable				48	Variant popularised on Lichess. Public domain.
petty	unverifiable				47	Traditional small chess variant. Public domain.
legan-chess	unverifiable				46	Named after Vladimír Legan. Public domain.
five-check	unverifiable				45	Traditional variant (extension of Three-Check). Public domain.
maharaja	unverifiable				43	Traditional Indian variant ("Maharaja and the Sepoys"), 19th century. Public domain.
stalemate-wins	unverifiable				39	Traditional rule modification. Public domain.
single-check	unverifiable				38	Traditional variant. Public domain.
endgame-chess	unverifiable				35	Traditional variant. Public domain.
peasants-revolt	unverifiable				35	Traditional asymmetric variant. Public domain.
sittuyin	unverifiable				34	Traditional Burmese chess, played for centuries in Myanmar. Public domain.
pawns-only	unverifiable				28	Traditional variant. Public domain.
de-vasa	unverifiable				16	Helge E. de Vasa. Public domain rules.
mccooey	unverifiable				16	Dave McCooey. Published on chessvariants.com. Public domain rules.
shafran	unverifiable				16	Boris Shafran. Public domain rules.
king-of-the-hill	unverifiable				14	Popularised on Lichess and Chess.com. Public domain.
three-check	unverifiable				14	Traditional variant. Popularised on Lichess. Public domain.
amazon-chess	unverifiable				12	Traditional fairy chess piece. Variant is public domain.
brusky	unverifiable				12	Yakov Brusky. Public domain rules.
chigorin	unverifiable				11	Named after Mikhail Chigorin. Variant design is traditional. Public domain.
asean	unverifiable				0	Codified by the ASEAN Chess Federation for regional competitive play. Public domain rule set.
blind-chess	unverifiable				0	Banqi is a traditional Chinese game. Rules from en.wikipedia.org/wiki/Banqi.
chak	unverifiable				0	Designed by Corey Clark. Published via Shogun of Games. Official rules at shogunofgames.com. Public domain rule set.
chennis	unverifiable				0	Designed by Corey Clark. Published via Shogun of Games. Public domain rule set.
cylindrical-chess	unverifiable				0	
four-handed-chess	unverifiable				0	
khans-chess	unverifiable				0	
mansindam	unverifiable				0	
metamachy	unverifiable				0	
omega-chess	unverifiable				0	
orda-mirror	unverifiable				0	Designed by Corey Clark. Published via Shogun of Games. Official rules at shogunofgames.com. Public domain rule set.
ouk-chaktrang	unverifiable				0	Traditional Cambodian game. Modern competitive rules codified by the Asian Chess Federation. Fully public domain.
placement-chess	unverifiable				0	Bronstein version attributed to David Bronstein, Soviet-era grandmaster and chess theorist. CVP version published on the Chess Variant Pages (chessvariants.com). Public domain rule sets.
senterej	unverifiable				0	
shinobi	unverifiable				0	Designed by Corey Clark. Published via Shogun of Games. Official rules at shogunofgames.com. Public domain rule set.
shogun	unverifiable				0	Designed by Corey Clark. Published via Shogun of Games. Official rules at shogunofgames.com.
